Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-12-19,Punk Love,2006,https://boxd.it/c6EN5J,0.5,,"was trying to watch <b>Fallen Angels</b> and some retard on the internet decided to uploaded this on a pirated website under the name Fallen Angels, and guess what, I ended up watching this thinking this was the actual Fallen Angels. I'm not sure to be mad or just kill myself. but yeah whatever man, the cinematography was really cool.",,2025-12-19
2025-12-19,Fallen Angels,1995,https://boxd.it/c6JAbp,5,,"This stuff is a visual love letter.

The shades of sickly greens, deep blues, and harsh neon fracture reality, and that's how you make a masterpiece.

A R T.",,2025-12-19
2025-12-19,How the Grinch Stole Christmas,2000,https://boxd.it/c7fTBP,,,"Hate, hate, hate. 
Hate, hate, hate. 
Double THE HATE. 
Loathe entirely!

Jim Carrey My GOAT!!!!!",,2025-12-19
2025-12-20,Mulholland Drive,2001,https://boxd.it/c7jm2Z,4,,WHAT THE FUCK?!?!??,,2025-12-19
2025-12-20,The Night Before,2015,https://boxd.it/c7y1x3,3.5,,"<blockquote>Are you jewish? It's that why you look soo different?</blockquote><blockquote>What's that come again??</blockquote><blockquote>You just look funny.</blockquote><blockquote>I look funny? Have you <a href=""https://www.tumblr.com/freshmoviequotes/139007809493/the-night-before-2015"">ever</a> seen The Shining?</blockquote>
my god this is one of the funniest Christmas movie I've seen lately. 10/10 re-watch material",,2025-12-20
2025-12-21,Dhurandhar,2025,https://boxd.it/c9gNjP,,Yes,"pardon my fucking french, but mai 6 saal baad theatre gya tha koi film dekhne aur who bhi morning show delhi ki december wali thand me, and now,, all I have to say is
I WANT TO KMS
why tf I watched it again.

You know what Kendrick was right, FUCK PEER PRESSURE 
FUCK MY CHUNGUS LIFE
and yeah KIDS PLS DO DRUGS or some shie, just don't be boring like me get a life, trust me I'm not fun at parties. 

Peace.",,2025-12-21
2025-12-22,The Neighbors' Window,2019,https://boxd.it/c9BIHf,5,,voyeurism heals,,2025-12-21
2025-12-25,Eyes Wide Shut,1999,https://boxd.it/cd3JRX,4,,please come forward,,2025-12-24
2025-12-25,My Night at Maud's,1969,https://boxd.it/cdHbcV,5,Yes,"CHRISTMAS 2025, i really really want to kms soo badd like I'm soo done bro i cant comprehend how shit my life is and how good this movie is",,2025-12-25
2025-12-25,ted,2024,https://boxd.it/cdL6xH,,Yes,in love with the christmas episode ♥️,,2025-12-25
